% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
2.922	1	1	293	3	1	28	2196	0	0	0
2.922	2	2	293	3	1	28	2196	0	0	0
3.021	1	1	303	2	1	28	2196	0	0	0
3.021	2	2	303	2	1	28	2196	0	0	0
3.022	1	1	303	3	1	28	2196	0	0	0
3.022	2	2	303	3	1	28	2196	0	0	0
3.121	1	1	313	2	1	28	2196	0	0	0
3.121	2	2	313	2	1	28	2196	0	0	0
3.122	1	1	313	3	1	28	2196	0	0	0
3.122	2	2	313	3	1	28	2196	0	0	0
3.221	1	1	323	2	1	28	2196	0	0	0
3.221	2	2	323	2	1	28	2196	0	0	0
3.222	1	1	323	3	1	28	2196	0	0	0
3.222	2	2	323	3	1	28	2196	0	0	0
3.321	1	1	333	2	1	28	2196	0	0	0
3.321	2	2	333	2	1	28	2196	0	0	0
3.322	1	1	333	3	1	28	2196	0	0	0
3.322	2	2	333	3	1	28	2196	0	0	0
3.421	1	1	343	2	1	28	2196	0	0	0
3.421	2	2	343	2	1	28	2196	0	0	0
3.422	1	1	343	3	1	28	2196	0	0	0
3.422	2	2	343	3	1	28	2196	0	0	0
3.521	1	1	353	2	1	28	2196	0	0	0
3.521	2	2	353	2	1	28	2196	0	0	0
3.522	1	1	353	3	1	28	2196	0	0	0
3.522	2	2	353	3	1	28	2196	0	0	0
3.621	1	1	363	2	1	28	2196	0	0	0
3.621	2	2	363	2	1	28	2196	0	0	0
3.622	1	1	363	3	1	28	2196	0	0	0
3.622	2	2	363	3	1	28	2196	0	0	0
3.721	1	1	373	2	1	28	2196	0	0	0
3.721	2	2	373	2	1	28	2196	0	0	0
3.722	1	1	373	3	1	28	2196	0	0	0
3.722	2	2	373	3	1	28	2196	0	0	0
3.821	1	1	383	2	1	28	2196	0	0	0
3.821	2	2	383	2	1	28	2196	0	0	0
3.822	1	1	383	3	1	28	2196	0	0	0
3.822	2	2	383	3	1	28	2196	0	0	0
3.921	1	1	393	2	1	28	2196	0	0	0
3.921	2	2	393	2	1	28	2196	0	0	0
3.922	1	1	393	3	1	28	2196	0	0	0
3.922	2	2	393	3	1	28	2196	0	0	0
4.021	1	1	403	2	1	28	2196	0	0	0
4.021	2	2	403	2	1	28	2196	0	0	0
4.022	1	1	403	3	1	28	2196	0	0	0
4.022	2	2	403	3	1	28	2196	0	0	0
4.121	1	1	413	2	1	28	2196	0	0	0
4.121	2	2	413	2	1	28	2196	0	0	0
4.122	1	1	413	3	1	28	2196	0	0	0
4.122	2	2	413	3	1	28	2196	0	0	0
4.221	1	1	423	2	1	28	2196	0	0	0
4.221	2	2	423	2	1	28	2196	0	0	0
4.222	1	1	423	3	1	28	2196	0	0	0
4.222	2	2	423	3	1	28	2196	0	0	0
4.321	1	1	433	2	1	28	2196	0	0	0
4.321	2	2	433	2	1	28	2196	0	0	0
4.322	1	1	433	3	1	28	2196	0	0	0
4.322	2	2	433	3	1	28	2196	0	0	0
4.421	1	1	443	2	1	28	2196	0	0	0
4.421	2	2	443	2	1	28	2196	0	0	0
4.422	1	1	443	3	1	28	2196	0	0	0
4.422	2	2	443	3	1	28	2196	0	0	0
4.521	1	1	453	2	1	28	2196	0	0	0
4.521	2	2	453	2	1	28	2196	0	0	0
4.522	1	1	453	3	1	28	2196	0	0	0
4.522	2	2	453	3	1	28	2196	0	0	0
4.621	1	1	463	2	1	28	2196	0	0	0
4.621	2	2	463	2	1	28	2196	0	0	0
4.622	1	1	463	3	1	28	2196	0	0	0
4.622	2	2	463	3	1	28	2196	0	0	0
4.721	1	1	473	2	1	28	2196	0	0	0
4.721	2	2	473	2	1	28	2196	0	0	0
4.722	1	1	473	3	1	28	2196	0	0	0
4.722	2	2	473	3	1	28	2196	0	0	0
4.821	1	1	483	2	1	28	2196	0	0	0
4.821	2	2	483	2	1	28	2196	0	0	0
4.822	1	1	483	3	1	28	2196	0	0	0
4.822	2	2	483	3	1	28	2196	0	0	0
4.921	1	1	493	2	1	28	2196	0	0	0
4.921	2	2	493	2	1	28	2196	0	0	0
4.922	1	1	493	3	1	28	2196	0	0	0
4.922	2	2	493	3	1	28	2196	0	0	0
5.021	1	1	503	2	1	28	2196	0	0	0
5.021	2	2	503	2	1	28	2196	0	0	0
5.022	1	1	503	3	1	28	2196	0	0	0
5.022	2	2	503	3	1	28	2196	0	0	0
5.121	1	1	513	2	1	28	2196	0	0	0
5.121	2	2	513	2	1	28	2196	0	0	0
5.122	1	1	513	3	1	28	2196	0	0	0
5.122	2	2	513	3	1	28	2196	0	0	0
5.221	1	1	523	2	1	28	2196	0	0	0
5.221	2	2	523	2	1	28	2196	0	0	0
5.222	1	1	523	3	1	28	2196	0	0	0
5.222	2	2	523	3	1	28	2196	0	0	0
5.321	1	1	533	2	1	28	2196	0	0	0
5.321	2	2	533	2	1	28	2196	0	0	0
5.322	1	1	533	3	1	28	2196	0	0	0
5.322	2	2	533	3	1	28	2196	0	0	0
5.421	1	1	543	2	1	28	2196	0	0	0
5.421	2	2	543	2	1	28	2196	0	0	0
5.422	1	1	543	3	1	28	2196	0	0	0
5.422	2	2	543	3	1	28	2196	0	0	0
5.521	1	1	553	2	1	28	2196	0	0	0
5.521	2	2	553	2	1	28	2196	0	0	0
5.522	1	1	553	3	1	28	2196	0	0	0
5.522	2	2	553	3	1	28	2196	0	0	0
5.621	1	1	563	2	1	28	2196	0	0	0
5.621	2	2	563	2	1	28	2196	0	0	0
5.622	1	1	563	3	1	28	2196	0	0	0
5.622	2	2	563	3	1	28	2196	0	0	0
5.721	1	1	573	2	1	28	2196	0	0	0
5.721	2	2	573	2	1	28	2196	0	0	0
5.722	1	1	573	3	1	28	2196	0	0	0
5.722	2	2	573	3	1	28	2196	0	0	0
5.821	1	1	583	2	1	28	2196	0	0	0
5.821	2	2	583	2	1	28	2196	0	0	0
5.822	1	1	583	3	1	28	2196	0	0	0
5.822	2	2	583	3	1	28	2196	0	0	0
5.921	1	1	593	2	1	28	2196	0	0	0
5.921	2	2	593	2	1	28	2196	0	0	0
5.922	1	1	593	3	1	28	2196	0	0	0
5.922	2	2	593	3	1	28	2196	0	0	0
6.021	1	1	603	2	1	28	2196	0	0	0
6.021	2	2	603	2	1	28	2196	0	0	0
6.022	1	1	603	3	1	28	2196	0	0	0
6.022	2	2	603	3	1	28	2196	0	0	0
6.121	1	1	613	2	1	28	2196	0	0	0
6.121	2	2	613	2	1	28	2196	0	0	0
6.122	1	1	613	3	1	28	2196	0	0	0
6.122	2	2	613	3	1	28	2196	0	0	0
6.221	1	1	623	2	1	28	2196	0	0	0
6.221	2	2	623	2	1	28	2196	0	0	0
6.222	1	1	623	3	1	28	2196	0	0	0
6.222	2	2	623	3	1	28	2196	0	0	0
6.321	1	1	633	2	1	28	2196	0	0	0
6.321	2	2	633	2	1	28	2196	0	0	0
6.322	1	1	633	3	1	28	2196	0	0	0
6.322	2	2	633	3	1	28	2196	0	0	0
6.421	1	1	643	2	1	28	2196	0	0	0
6.421	2	2	643	2	1	28	2196	0	0	0
6.422	1	1	643	3	1	28	2196	0	0	0
6.422	2	2	643	3	1	28	2196	0	0	0
6.521	1	1	653	2	1	28	2196	0	0	0
6.521	2	2	653	2	1	28	2196	0	0	0
6.522	1	1	653	3	1	28	2196	0	0	0
6.522	2	2	653	3	1	28	2196	0	0	0
6.621	1	1	663	2	1	28	2196	0	0	0
6.621	2	2	663	2	1	28	2196	0	0	0
6.622	1	1	663	3	1	28	2196	0	0	0
6.622	2	2	663	3	1	28	2196	0	0	0
6.721	1	1	673	2	1	28	2196	0	0	0
6.721	2	2	673	2	1	28	2196	0	0	0
6.722	1	1	673	3	1	28	2196	0	0	0
6.722	2	2	673	3	1	28	2196	0	0	0
6.821	1	1	683	2	1	28	2196	0	0	0
6.821	2	2	683	2	1	28	2196	0	0	0
6.822	1	1	683	3	1	28	2196	0	0	0
6.822	2	2	683	3	1	28	2196	0	0	0
6.921	1	1	693	2	1	28	2196	0	0	0
6.921	2	2	693	2	1	28	2196	0	0	0
6.922	1	1	693	3	1	28	2196	0	0	0
6.922	2	2	693	3	1	28	2196	0	0	0
7.021	1	1	703	2	1	28	2196	0	0	0
7.021	2	2	703	2	1	28	2196	0	0	0
7.022	1	1	703	3	1	28	2196	0	0	0
7.022	2	2	703	3	1	28	2196	0	0	0
7.121	1	1	713	2	1	28	2196	0	0	0
7.121	2	2	713	2	1	28	2196	0	0	0
7.122	1	1	713	3	1	28	2196	0	0	0
7.122	2	2	713	3	1	28	2196	0	0	0
7.221	1	1	723	2	1	28	2196	0	0	0
7.221	2	2	723	2	1	28	2196	0	0	0
7.222	1	1	723	3	1	28	2196	0	0	0
7.222	2	2	723	3	1	28	2196	0	0	0
7.321	1	1	733	2	1	28	2196	0	0	0
7.321	2	2	733	2	1	28	2196	0	0	0
7.322	1	1	733	3	1	28	2196	0	0	0
7.322	2	2	733	3	1	28	2196	0	0	0
7.421	1	1	743	2	1	28	2196	0	0	0
7.421	2	2	743	2	1	28	2196	0	0	0
7.422	1	1	743	3	1	28	2196	0	0	0
7.422	2	2	743	3	1	28	2196	0	0	0
7.521	1	1	753	2	1	28	2196	0	0	0
7.521	2	2	753	2	1	28	2196	0	0	0
7.522	1	1	753	3	1	28	2196	0	0	0
7.522	2	2	753	3	1	28	2196	0	0	0
7.621	1	1	763	2	1	28	2196	0	0	0
7.621	2	2	763	2	1	28	2196	0	0	0
7.622	1	1	763	3	1	28	2196	0	0	0
7.622	2	2	763	3	1	28	2196	0	0	0
7.721	1	1	773	2	1	28	2196	0	0	0
7.721	2	2	773	2	1	28	2196	0	0	0
7.722	1	1	773	3	1	28	2196	0	0	0
7.722	2	2	773	3	1	28	2196	0	0	0
7.821	1	1	783	2	1	28	2196	0	0	0
7.821	2	2	783	2	1	28	2196	0	0	0
7.822	1	1	783	3	1	28	2196	0	0	0
7.822	2	2	783	3	1	28	2196	0	0	0
7.921	1	1	793	2	1	28	2196	0	0	0
7.921	2	2	793	2	1	28	2196	0	0	0
7.922	1	1	793	3	1	28	2196	0	0	0
7.922	2	2	793	3	1	28	2196	0	0	0
8.021	1	1	803	2	1	28	2196	0	0	0
8.021	2	2	803	2	1	28	2196	0	0	0
8.022	1	1	803	3	1	28	2196	0	0	0
8.022	2	2	803	3	1	28	2196	0	0	0
8.121	1	1	813	2	1	28	2196	0	0	0
8.121	2	2	813	2	1	28	2196	0	0	0
8.122	1	1	813	3	1	28	2196	0	0	0
8.122	2	2	813	3	1	28	2196	0	0	0
8.221	1	1	823	2	1	28	2196	0	0	0
8.221	2	2	823	2	1	28	2196	0	0	0
8.222	1	1	823	3	1	28	2196	0	0	0
8.222	2	2	823	3	1	28	2196	0	0	0
8.321	1	1	833	2	1	28	2196	0	0	0
8.321	2	2	833	2	1	28	2196	0	0	0
8.322	1	1	833	3	1	28	2196	0	0	0
8.322	2	2	833	3	1	28	2196	0	0	0
8.421	1	1	843	2	1	28	2196	0	0	0
8.421	2	2	843	2	1	28	2196	0	0	0
8.422	1	1	843	3	1	28	2196	0	0	0
8.422	2	2	843	3	1	28	2196	0	0	0
8.521	1	1	853	2	1	28	2196	0	0	0
8.521	2	2	853	2	1	28	2196	0	0	0
8.522	1	1	853	3	1	28	2196	0	0	0
8.522	2	2	853	3	1	28	2196	0	0	0
8.621	1	1	863	2	1	28	2196	0	0	0
8.621	2	2	863	2	1	28	2196	0	0	0
8.622	1	1	863	3	1	28	2196	0	0	0
8.622	2	2	863	3	1	28	2196	0	0	0
8.721	1	1	873	2	1	28	2196	0	0	0
8.721	2	2	873	2	1	28	2196	0	0	0
8.722	1	1	873	3	1	28	2196	0	0	0
8.722	2	2	873	3	1	28	2196	0	0	0
8.821	1	1	883	2	1	28	2196	0	0	0
8.821	2	2	883	2	1	28	2196	0	0	0
8.822	1	1	883	3	1	28	2196	0	0	0
8.822	2	2	883	3	1	28	2196	0	0	0
8.921	1	1	893	2	1	28	2196	0	0	0
8.921	2	2	893	2	1	28	2196	0	0	0
8.922	1	1	893	3	1	28	2196	0	0	0
8.922	2	2	893	3	1	28	2196	0	0	0
9.021	1	1	903	2	1	28	2196	0	0	0
9.021	2	2	903	2	1	28	2196	0	0	0
9.022	1	1	903	3	1	28	2196	0	0	0
9.022	2	2	903	3	1	28	2196	0	0	0
9.121	1	1	913	2	1	28	2196	0	0	0
9.121	2	2	913	2	1	28	2196	0	0	0
9.122	1	1	913	3	1	28	2196	0	0	0
9.122	2	2	913	3	1	28	2196	0	0	0
9.221	1	1	923	2	1	28	2196	0	0	0
9.221	2	2	923	2	1	28	2196	0	0	0
9.222	1	1	923	3	1	28	2196	0	0	0
9.222	2	2	923	3	1	28	2196	0	0	0
9.321	1	1	933	2	1	28	2196	0	0	0
9.321	2	2	933	2	1	28	2196	0	0	0
9.322	1	1	933	3	1	28	2196	0	0	0
9.322	2	2	933	3	1	28	2196	0	0	0
9.421	1	1	943	2	1	28	2196	0	0	0
9.421	2	2	943	2	1	28	2196	0	0	0
9.422	1	1	943	3	1	28	2196	0	0	0
9.422	2	2	943	3	1	28	2196	0	0	0
9.521	1	1	953	2	1	28	2196	0	0	0
9.521	2	2	953	2	1	28	2196	0	0	0
9.522	1	1	953	3	1	28	2196	0	0	0
9.522	2	2	953	3	1	28	2196	0	0	0
9.621	1	1	963	2	1	28	2196	0	0	0
9.621	2	2	963	2	1	28	2196	0	0	0
9.622	1	1	963	3	1	28	2196	0	0	0
9.622	2	2	963	3	1	28	2196	0	0	0
9.721	1	1	973	2	1	28	2196	0	0	0
9.721	2	2	973	2	1	28	2196	0	0	0
9.722	1	1	973	3	1	28	2196	0	0	0
9.722	2	2	973	3	1	28	2196	0	0	0
9.821	1	1	983	2	1	28	2196	0	0	0
9.821	2	2	983	2	1	28	2196	0	0	0
9.822	1	1	983	3	1	28	2196	0	0	0
9.822	2	2	983	3	1	28	2196	0	0	0
9.921	1	1	993	2	1	28	2196	0	0	0
9.921	2	2	993	2	1	28	2196	0	0	0
9.922	1	1	993	3	1	28	2196	0	0	0
9.922	2	2	993	3	1	28	2196	0	0	0
